date,description
21/1/2026,"It took a solid 15 days since we dropped the seeds into the soil on January 6th, but patience has finally paid off! One of the Popanonimous seeds has officially decided to join the party. We were starting to get a little worried about the delay, but she has emerged looking healthy, sporting a sturdy, slightly purple stem and already displaying her first set of serrated true leaves. She has a lot of catching up to do compared to the big Star Point ladies, but we are just relieved to see another healthy seedling in the mix. Welcome to the world!"
18/1/2026,"It is Day 34, and the difference between the two Star Point phenotypes is becoming massive. The plant in the white fabric pot is absolutely thriving. As you can see, she has hit a vertical growth spurt, and her fan leaves are spreading wide to maximize surface area for photosynthesis. The stem is thick and self-supporting, and she is drinking water faster than any other plant in the tent. She is definitely the ""Alpha"" of this run so far."
17/1/2026,"Meanwhile, the second Star Point in the black pot is struggling to keep her head up. Her stem hasn't hardened off quite as fast as her sister's, making her a bit top-heavy and wobbly. We didn't want to risk her falling over and snapping, so today we performed a little ""surgery."" We inserted a wooden stake and gently secured the main stem with a soft garden tie to keep her upright. Hopefully, this crutch gives her the stability she needs to strengthen her roots and eventually stand on her own. We aren't giving up on her yet!"
14/1/2026,"We are hitting the one-month mark (Day 31), and a clear hierarchy is establishing itself in the tent. The Star Point in the white fabric pot—pictured here—is absolutely crushing it. She has developed a beautiful, symmetric structure with full 5-fingered fan leaves that are reaching out to the edges of the pot. The growth rate has exploded over the last few days, proving that the root system is now fully established and is drinking up nutrients efficiently."
10/1/2026,"The garden is getting crowded in the best way possible! Today, Sanji stopped by to do a detailed inspection and bring in a new contender: Lime Skunk. Unlike the others, this seed was pre-germinated at the shop by Tom and Toby to ensure it had a fighting chance before hitting the soil. We’ve placed it in the mix, bringing our total strain count to three. With the Star Point established, the Popanonimous incubating, and now a sprouted Lime Skunk joining the roster, the Green Ghost grow tent is officially a multi-strain ecosystem. Let's see which one dominates!"
9/1/2026,"It is Day 26 for our Star Point, and she is really starting to stretch. As you can see in the close-up, the stem is elongating, and the leaves are reaching upward, soaking in every bit of light from the Mars Hydro. While the Star Point is thriving, the ""Popanonimous"" pots on the left are still quiet. We are keeping the soil warm and moist, knowing that the magic is happening underground. It’s a game of patience, but with the Star Point leading the way, the garden’s vibe is looking healthy."
6/1/2026,"We are officially expanding the family! Today, we dropped two Popanonimous seeds into the two white fabric pots on the left side of the tent. We decided to plant them directly into the final soil medium, skipping the pre-germination steps to let them establish their roots immediately. With the Star Point ladies already growing nicely on the right, the garden is now running at full capacity. We’ll be keeping the soil surface moist and warm, eagerly waiting for these new additions to pop up and join the party."
6/1/2026,"We have reached Day 23, and the Star Point is officially shifting gears. She has graduated from a fragile sprout into a sturdy young plant. In today's shot, you can see the leaf structure becoming more complex as the second set of true leaves expands and the next node begins to emerge from the center growth tip. The stem is thickening up nicely to support this new weight, and the vibrant green color tells us she is perfectly happy with the current nutrient and light levels. We are now entering the vegetative stage where growth becomes noticeably faster every single day."
4/1/2026,"Three weeks in! Here is a view of our two contenders side-by-side. On the left, we have the white fabric pot, and on the right, the black one. Both Star Point seedlings are standing up straight with no stretching, meaning they are getting plenty of light from the Mars Hydro without being stressed. We love using these fabric pots because they provide excellent aeration to the root zone, preventing the roots from circling and helping the soil dry out evenly between waterings. Slow and steady wins the race!"
3/1/2026,"It’s Day 20, and the Star Point is starting to show her personality. In today’s close-up, you can clearly see the ""zig-zag"" serrated edges forming on the leaves. This is a great sign that the plant is moving past the fragile sprout phase and entering early vegetative growth. She is looking a nice, healthy shade of green, which tells us our pH-balanced water and light distance are just right."
1/1/2026,"Happy New Year, Green Ghost community! There is no better way to start the year than watching new life thrive. The seedling has fully shaken off its shell and is stretching out beautifully toward the light. We have the Mars Hydro FC-E3000 dimmed to just 25% intensity right now; these little ones are delicate, and we don't want to blast them with too much power this early. Environmentally, it’s been a bit of a battle to keep things stable. We are fighting to maintain a constant 27°C, though it hasn't been easy to hold it there perfectly, while keeping the humidity locked at 50%. We are constantly tweaking the ventilation to ensure the conditions stay in the safe zone for these young autos."
1/1/2026,"Behind every healthy plant is a messy prep table! In the second photo, you can see our workspace where we prep everything before it goes into the tent. Water quality is our top priority right now. We aren't just using straight tap water; we let our water sit out in open containers to allow the chlorine to evaporate naturally. Once it's clean, we are meticulous about pH balancing. We adjust every batch to a precise 6.5 pH before watering. This ensures the soil chemistry stays perfect so the roots can absorb nutrients without getting ""locked out."" It’s a bit of extra work, but starting the year with good habits will pay off in sticky buds later."
31/12/2025,"This photo is the money shot we were waiting for! Once the shell fell off, the seedling opened up beautifully. You can clearly see the round ""cotyledons"" (the embryonic leaves) spread out to catch the light, and right in the center, the first tiny set of serrated ""true leaves"" is emerging. This is the official start of photosynthesis. Now that she is open and processing light from the Mars Hydro, we expect growth to speed up significantly over the next few days."
30/12/2025,"As you can see in the first two photos, one of our ladies arrived a bit shy, popping up with the seed shell still stuck to her cotyledons. This is often called ""helmet head"" and usually happens if the soil was a bit loose or the air was dry, preventing the friction needed to pull the shell off. We are going to carefully mist the shell with water to soften it up; usually, the plant will shed it on its own as the leaves expand, but we are watching closely to make sure she doesn't get stuck."
29/12/2025,"It took a little longer than expected, but on Day 16, we finally have ""lift off""! After patiently maintaining our environment and keeping the soil moist, the Gorilla Glue Auto planted directly in the soil has broken the surface. It’s always a relief to see that first loop of green pushing up through the dark soil/perlite mix. We were starting to get worried about the delay, but nature runs on its own schedule, and today the garden officially has a living plant."
28/12/2025,"After 10 days, our Gorilla Glue seeds still haven't germinated—it was the Christmas period, so we let things slide a bit. We switched gears and germinated two Star Point photoperiod seeds we found in a bud, and they sprouted in just 3 days. Time to pivot and keep the momentum going in the Green Ghost Garden."
28/12/2025,"We potted the two Star Point seedlings, re-moistened the soil, and added a humidity dome to lock in maximum moisture. Turns out those free seeds we planted directly were duds—haha, lesson learned. But we're adapting and excited to see these new ones take root."
28/12/2025,"We've now started germinating two more seeds: Gelato Auto and Purple Juice Auto. It's ideal to have matching strains in the tent, but since we're still testing the environment, variety is fine—let's freaking grow! Stay tuned for updates as we dial everything in."
17/12/2025,"Today is all about environmental control. We noticed the air was a little dry, so we’ve boosted the ambient humidity in the tent to create that perfect nursery atmosphere. For the two Gorilla Glue seeds planted directly in the soil, we didn't want to overwater, so we used a spray bottle to gently humidify the topsoil. This keeps the medium moist enough to soften the shell without drowning the taproot, ensuring the little ones have the best chance to break through the surface."
17/12/2025,"Lighting is the heartbeat of the indoor garden, and for this run, we are trusting the Mars Hydro FC-E3000 300W. While the seedlings haven't popped their heads out just yet, having this light setup is crucial for maintaining our temperature and getting ready for the next phase. We love this bar-style light because it offers uniform coverage, and it is going to be an absolute beast during the vegetation stage (""vegetalisation""), providing exactly the spectrum these autos need to explode in size once they establish their roots."
17/12/2025,"Stability is the name of the game right now. We are currently maintaining a steady temperature of 25°C, which is ideal for germination. We are also keeping the relative humidity hovering between 50% and 60%. This balance of warmth and moisture is the ""sweet spot"" to trigger life. Now that the environment is locked in and the equipment is running smoothly, we are just counting down the hours until we see that first bit of green."
15/12/2025,"We are officially cutting the ribbon on the new Green Ghost garden! Today marks Day 1 of our adventure with the legendary Gorilla Glue Auto. We decided to kick things off with this specific strain because we scored the seeds for free from Herbies, making this the perfect opportunity for our very first test run. It is a great way to dial in our equipment while growing a strain known for producing incredibly sticky, resin-coated buds. Since it is an autoflower, we know the clock is ticking the moment these shells crack. The tent is scrubbed, the environment is ready, and we are excited to see what we can achieve in this inaugural indoor setup."
15/12/2025,"For this run, we decided to shake things up and run a little experiment for the community to follow. We are popping 4 seeds total, but we’re splitting the germination methods to see which yields the strongest start. We have placed two seeds into a standard germination method (damp paper towel/humidity dome) to watch for those taproots to pop. Meanwhile, the other two seeds have gone directly into their final soil pots, letting nature take its course without the stress of transplanting."
15/12/2025,"Now comes the hardest part of the grow: the waiting game. We are keeping the tent warm and the humidity high to encourage those seedlings to break the surface. We are looking for that initial taproot development on the germinating seeds and keeping a close eye on the soil pots for the first sign of green life. Stay tuned to the Green Ghost Garden feed; we will be documenting every watering, leaf tuck, and nutrient feed as we take these Gorilla Glue Autos from tiny seeds to massive colas. Let’s grow!"
