slug,name,logo,description,opensea,embellishments,ghost,headgear,joint,leaves,shades,vibe,vibes
1,Green Ghost Degen 1,/nft/1.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Bass Buds,Satoshis Spliff,Green Dream,Blockchain Blinders,Weed Republic Flag,Munchies
2,Green Ghost Degen 2,/nft/2.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Puff Hat,Blockchain Blaze,Green Dream,0,Moon Lamai Beach,Chillaxer
3,Green Ghost Degen 3,/nft/3.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Green Dream,Eth Eyes,Hybrid Serenity,Based
4,Green Ghost Degen 4,/nft/4.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Canna Corona,0,Indica Island,Dank Daydream
5,Green Ghost Degen 5,/nft/5.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Ganja Gurus Turban,Satoshis Spliff,Indica Intuition,0,Patong Pixies,Gazing Galactic
6,Green Ghost Degen 6,/nft/6.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Hybrid Harmony,Crypto Specs,Based Island,The Munchie Look
7,Green Ghost Degen 7,/nft/7.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Jamaican Bonnet,Weed Flag Beanie,Green Dream,0,Based Island,Munchies
8,Green Ghost Degen 8,/nft/8.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Minty Mirage,0,Phuket Pharms,Chillaxer
9,Green Ghost Degen 9,/nft/9.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Bakers Biretta,Blockchain Blaze,Minty Mirage,0,Phuket Pharms,Baked
10,Green Ghost Degen 10,/nft/10.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Satoshis Spliff,Green Dream,0,Based Island,Based
11,Green Ghost Degen 11,/nft/11.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,Weed Flag Beanie,Green Dream,0,Jungle Jive,Chillaxer
12,Green Ghost Degen 12,/nft/12.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Minty Mirage,0,Hybrid Serenity,Red Eyed Reaper
13,Green Ghost Degen 13,/nft/13.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Stoners Sombrero,Pump & Puff,Indica Intuition,Moonwalkers,Thailand Flag,Based
14,Green Ghost Degen 14,/nft/14.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Green Dream,0,Hybrid Serenity,Chillaxer
15,Green Ghost Degen 15,/nft/15.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,0,Based Island,Red Eyed Reaper
16,Green Ghost Degen 16,/nft/16.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Ganja Gurus Turban,Pump & Puff,Green Dream,0,Sativa Sunrise,Pineapple Express
17,Green Ghost Degen 17,/nft/17.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Ganja Gurus Turban,Satoshis Spliff,Hybrid Harmony,0,Crypto Sunset,The Munchie Look
18,Green Ghost Degen 18,/nft/18.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Satoshis Spliff,Indica Intuition,0,Sativa Sunrise,Based
19,Green Ghost Degen 19,/nft/19.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Ganja Green,Crypto Specs,Weed Republic Flag,Based
20,Green Ghost Degen 20,/nft/20.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Jamaican Bonnet,Weed Flag Beanie,Green Dream,0,Crypto Sunset,Stoned Stare
21,Green Ghost Degen 21,/nft/21.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Degen Top Hat,Weed Flag Beanie,Indica Intuition,Stoner Specs,Sativa Sunrise,Munchies
22,Green Ghost Degen 22,/nft/22.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Sativa Serenade,0,Sativa Sunrise,Baked
23,Green Ghost Degen 23,/nft/23.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Blockchain Blaze,Green Dream,0,Patong Pixies,Dank Daydream
24,Green Ghost Degen 24,/nft/24.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Stoners Sombrero,Blockchain Blaze,Green Dream,0,Patong Pixies,Gazing Galactic
25,Green Ghost Degen 25,/nft/25.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,High Hat,Pump & Puff,Green Dream,Stoner Specs,Thai High Sky,Based
26,Green Ghost Degen 26,/nft/26.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Bakers Biretta,Blockchain Blaze,Green Dream,0,Hybrid Serenity,Dank Daydream
27,Green Ghost Degen 27,/nft/27.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Sativa Serenade,0,Crypto Sunset,Dank Daydream
28,Green Ghost Degen 28,/nft/28.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Canna Corona,0,Rasta Road,Gazing Galactic
29,Green Ghost Degen 29,/nft/29.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,Crypto Specs,Rasta Road,Pineapple Express
30,Green Ghost Degen 30,/nft/30.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Hybrid Serenity,Baked
31,Green Ghost Degen 31,/nft/31.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Pump & Puff,Green Dream,0,Crypto Sunset,Toke Trance
32,Green Ghost Degen 32,/nft/32.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Ganja Green,0,Hybrid Serenity,Blazed Bliss
33,Green Ghost Degen 33,/nft/33.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Blockchain Blaze,Sativa Serenade,0,Phuket Pharms,Blazed Bliss
34,Green Ghost Degen 34,/nft/34.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,High Hat,HODL Haze,Green Dream,Crypto Specs,Hybrid Serenity,Pineapple Express
35,Green Ghost Degen 35,/nft/35.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Green Dream,Stoner Specs,Indica Island,Dank Daydream
36,Green Ghost Degen 36,/nft/36.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Indica Intuition,0,Weed Republic Flag,Based
37,Green Ghost Degen 37,/nft/37.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,0,Thai High Sky,The Munchie Look
38,Green Ghost Degen 38,/nft/38.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Indica Intuition,0,Thailand Flag,Toke Trance
39,Green Ghost Degen 39,/nft/39.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Indica Intuition,Sativa Sunglasses,Phuket Pharms,Munchies
40,Green Ghost Degen 40,/nft/40.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Puff Hat,Satoshis Spliff,Sativa Serenade,0,Patong Pixies,High Times
41,Green Ghost Degen 41,/nft/41.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,0,Sativa Sunrise,Red Eyed Reaper
42,Green Ghost Degen 42,/nft/42.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Hybrid Harmony,Degen Dazzlers,Sativa Sunrise,Pineapple Express
43,Green Ghost Degen 43,/nft/43.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Minty Mirage,0,Sativa Sunrise,Red Eyed Reaper
44,Green Ghost Degen 44,/nft/44.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Jamaican Bonnet,HODL Haze,Green Dream,0,Indica Island,Toke Trance
45,Green Ghost Degen 45,/nft/45.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Green Dream,0,Patong Pixies,Baked
46,Green Ghost Degen 46,/nft/46.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Ganja Gurus Turban,HODL Haze,Canna Corona,Moonwalkers,Thai High Sky,Toke Trance
47,Green Ghost Degen 47,/nft/47.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Bearish Bonnet,Pump & Puff,Green Dream,Stoner Specs,Patong Pixies,Toke Trance
48,Green Ghost Degen 48,/nft/48.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Sativa Serenade,Weed Wrap Arounds,Thailand Flag,The Munchie Look
49,Green Ghost Degen 49,/nft/49.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Rasta Locks,Pump & Puff,Canna Corona,0,Indica Island,Dank Daydream
50,Green Ghost Degen 50,/nft/50.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Green Dream,0,Weed Republic Flag,The Munchie Look
51,Green Ghost Degen 51,/nft/51.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Indica Intuition,0,Rasta Road,The Munchie Look
52,Green Ghost Degen 52,/nft/52.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Blockchain Blaze,Minty Mirage,0,Based Island,Munchies
53,Green Ghost Degen 53,/nft/53.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Indica Intuition,0,Sativa Sunrise,Based
54,Green Ghost Degen 54,/nft/54.png,Coming Soon!,0,Leaflet,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Minty Mirage,Blockchain Blinders,Hybrid Serenity,Stoned Stare
55,Green Ghost Degen 55,/nft/55.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Crypto Scholars Cap,Satoshis Spliff,Green Dream,0,Based Island,Blazed Bliss
56,Green Ghost Degen 56,/nft/56.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Green Dream,0,Phuket Pharms,Pineapple Express
57,Green Ghost Degen 57,/nft/57.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Rasta Locks,Satoshis Spliff,Green Dream,0,Sativa Sunrise,Baked
58,Green Ghost Degen 58,/nft/58.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Green Dream,0,Sativa Sunrise,Munchies
59,Green Ghost Degen 59,/nft/59.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Ganja Green,0,Sativa Sunrise,Blazed Bliss
60,Green Ghost Degen 60,/nft/60.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Satoshis Spliff,Ganja Green,0,Thailand Flag,Red Eyed Reaper
61,Green Ghost Degen 61,/nft/61.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Canna Corona,Sativa Sunglasses,Patong Pixies,Dank Daydream
62,Green Ghost Degen 62,/nft/62.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Buildmaster Helmet,Satoshis Spliff,Green Dream,Munchies Mirrors,Patong Pixies,Gazing Galactic
63,Green Ghost Degen 63,/nft/63.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,HODL Haze,Sativa Serenade,0,Indica Island,Blazed Bliss
64,Green Ghost Degen 64,/nft/64.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Canna Corona,0,Phuket Pharms,Pineapple Express
65,Green Ghost Degen 65,/nft/65.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Hybrid Harmony,Eth Eyes,Patong Pixies,Based
66,Green Ghost Degen 66,/nft/66.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Degen Top Hat,Blockchain Blaze,Green Dream,0,Phuket Pharms,Stoned Stare
67,Green Ghost Degen 67,/nft/67.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Jamaican Bonnet,Satoshis Spliff,Hybrid Harmony,Crypto Specs,Thai High Sky,Red Eyed Reaper
68,Green Ghost Degen 68,/nft/68.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Buildmaster Helmet,HODL Haze,Indica Intuition,0,Weed Republic Flag,The Munchie Look
69,Green Ghost Degen 69,/nft/69.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Ganja Gurus Turban,Pump & Puff,Hybrid Harmony,Sativa Sunglasses,Hybrid Serenity,Toke Trance
70,Green Ghost Degen 70,/nft/70.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Sativa Serenade,0,Indica Island,Stoned Stare
71,Green Ghost Degen 71,/nft/71.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Minty Mirage,0,Based Island,Chillaxer
