Item name,Type,Wsp,Price,Initial,Stock,Status,Description,SEO,Dominance,THC,CBD,effects,relieves
Ben & Gary's,Strain,30,400,255,26,In stock,"Discover the delightful Ben & Gary's strain from Exotic Genetix, a tantalizing 70/30 Indica-dominant hybrid that brings a creamy, fruity experience reminiscent of berry ice cream and fizzy drinks. This unique strain results from the remarkable crossing of the Ben & Berries and Gary Poppins varieties, each contributing its own exceptional characteristics. \n\n Ben & Berries, an elite clone developed by Lumpy's Flowers, is a luscious combination of Apple Fritter and Reckless Rainbow. Its conical, forest-green buds are adorned with fine orange hairs and coated in a thick layer of crystalline white trichomes, promising a visually stunning experience. The flavor profile bursts with super sweet and sugary berry notes, complemented by fresh blueberries and spicy apples, all wrapped in soft hints of floral herbs. This strain is perfect for anyone seeking maximum fruity flavor. \n\n On the other hand, Gary Poppins is an indica-dominant hybrid derived from the renowned Red Runtz lineage. This strain showcases a unique Kool-Aid-like terpene profile, making it an intriguing choice for growers and enthusiasts alike. With its impressive yield and straightforward cultivation process, Ben & Gary's is a must-try for anyone looking to elevate their cannabis experience with truly unique aromas and flavors.","Experience Ben & Gary's by Exotic Genetix: a creamy, fruity strain with berry ice cream aromas and a delightful indica-dominant profile.",Indica 70%,26.0,0.0,"Euphoria, Relaxation, Creativity","Stress, Pain, Insomnia"
Lime Skunk,Strain,40,400,150,23,In stock,"Immerse yourself in Lime Skunk, a sativa-dominant hybrid (60% sativa/40% indica) crafted from Lemon Skunk and Green Ribbon BX. This strain dazzles with a vibrant aroma of sour lemon-lime, infused with skunky herbs and a touch of earthy spiciness that awakens the senses. Its flavor bursts with tangy citrus, delivering a bold, zesty punch followed by a subtle, spicy earthiness that lingers smoothly on the palate, offering a refreshing and invigorating experience. Boasting 17-23% THC, Lime Skunk ignites a lively, uplifting high, perfect for daytime adventures or vibrant social moments. \n\n Its pepper-shaped, lime-green buds, adorned with vivid orange hairs and a thick coating of golden-amber trichomes, showcase exceptional craftsmanship. Grown organically in Thailand’s lush, tropical climate, free from pesticides and heavy metals, this strain ensures purity and premium quality. Lime Skunk captures the essence of Thailand’s dynamic cannabis culture, evoking the exhilarating vibe of a sun-drenched beach festival. \n\n Its bold, citrusy profile and potent effects make it a standout choice for enthusiasts seeking a thrilling, fruit-forward experience that elevates every moment with authenticity and energy.","Lime Skunk, a sativa hybrid, blends tangy lime and skunky flavors with 17-23% THC for an energizing, creative high in Thailand’s cannabis scene.",Sativa 60%,21.0,0.0,"Energizing buzz, Enhanced creativity, Social ease","FatigueLack of focus, Social anxiety"
ML Peachy,Strain,25,200,300,220.5,In stock,"Discover ML Peachy, a sativa-dominant hybrid (70% sativa/30% indica) from Eclipse Genetics, Thai-born and bred for tropical excellence. This 24% THC powerhouse, a cross of Apple Fritter and Namwah, captivates with an aroma blending tropical fruits, citrus, strawberry, peach, earthy tones, and spice. \n\n Its flavor echoes creamy apricot sweetness with fruity creaminess, underpinned by limonene, caryophyllene, and myrcene terpenes for a rich profile.Grown indoors for premium quality, ML Peachy delivers a euphoric, happy high that transitions to gentle relaxation, perfect for evening unwinding. \n\n Its dense buds shine with resin, offering a smooth, flavorful smoke that elevates moods without overwhelming intensity.Ideal for Thailand's cannabis enthusiasts, ML Peachy embodies authentic Thai innovation, providing a vibrant, fruit-forward experience that harmonizes energy and calm in every puff.","ML Peachy, Thai-bred sativa hybrid with 24% THC. Creamy apricot and fruity flavors for euphoric, relaxing highs.",Sativa  70%,24.0,0.0,"Euphoric lift, Happy mood, Relaxing calm","Pain, Depression, Insomnia"
Mango Sticky Rice,Strain,60,450,1050,48.65,In stock,"Mango Sticky Rice, named after the beloved Thai dessert, is a sativa-dominant hybrid (70% sativa, 30% indica) that boasts a unique heritage. This award-winning strain (winner at the first Thai Cannabis Cup in March 2023) is a product of a breeding program focused on promoting new genetics with advantageous traits for Thailand's tropical climate. The program also aims to preserve the rich history of cannabis varieties native to the country. \n\n This strain offers a truly sensory experience. Lush, neon green nugs with a coating of crystal trichomes give way to a sweet and tropical aroma and flavor profile. Expect notes of mango, coconut, and rice, reminiscent of its namesake dessert. The effects lean towards a clear-headed euphoria, perfect for a creative boost or a social gathering. \n\n Beyond Relaxation: Mango Sticky Rice's Versatility. Mango Sticky Rice transcends its recreational uses. Its high THC content (20-22%) makes it a potential candidate for alternative medicine, with some users reporting relief from various physical and mental conditions.  Interestingly, this strain can also be enjoyed as a herbal tea, offering a unique way to experience its properties.","Mango Sticky Rice, a sativa-dominant hybrid, offers a tropical aroma of mango and coconut with 20-22% THC. Enjoy its clear-headed euphoria and creative boost.",Sativa  70%,22.0,0.0,"Euphoria, Relaxing, Creative","Anxiety, Depression, Insomnia"
Cartier OG,Strain,25,300,300,295,In stock,"Cartier OG is a hybrid strain bred by Aficionado French Connection, crossing Hollywood Pure Kush (clone only) with Paris OG Bx. This powerhouse boasts THC levels up to 28%, delivering a fun, balanced Indica-Sativa experience. Its dense, colorful buds showcase high resin production, with an aroma blending earthy Kush notes, pine, lemon, diesel, sandalwood, and citric hints for a resinous, captivating scent. \n\n The flavor mirrors the aroma, offering a powerful diesel base with pine-lemon freshness and earthy spice, making each puff smooth and mouthwatering. Grown organically in Thailand's tropical climate, free from pesticides and heavy metals, Cartier OG ensures premium purity. \n\n Its buds are visually stunning, with hues that evoke US classics, perfect for Thailand's vibrant cannabis scene.This strain provides a potent, enjoyable high that keeps you engaged without extremes, ideal for social or creative moments. Cartier OG's authenticity and strength make it a top choice for enthusiasts seeking a high-THC hybrid with classic OG charm.","Cartier OG, a potent hybrid with up to 28% THC. Earthy diesel and pine flavors for a balanced, fun high in Thailand's cannabis scene.",Hybrid,28.0,0.0,"Potent buzz, Balanced relaxation, Uplifting mood","Pain, Stress, Anxiety"
Pink Zkittlez,Strain,20,150,1400,-62.7,In stock,"Pink Zkittlez is an evenly balanced hybrid (50% indica / 50% sativa) that delivers both mental clarity and full-body relaxation. Created by crossing Tropical Cherry and Zkittlez Bomb, this stunning strain boasts a vibrant pink appearance, with long, tapered forest green nugs featuring bright pink undertones, pinkish-orange hairs, and a frosty layer of light pink-tinted trichomes. \n\n Breaking apart its resinous buds unleashes a burst of tropical sweetness, blending zesty candy, pink fruits, and a hint of spicy gas. The flavor profile is even more captivating, combining sour pineapple candy, fresh strawberries, and ripe cherries for a mouthwatering experience. \n\n The high-THC content (27-31%) ensures an immediate euphoric uplift, enhancing focus, creativity, and motivation for mentally engaging tasks. As the cerebral buzz settles, a deep physical relaxation takes over, leaving you calm yet mentally alert. Despite its soothing effects, Pink Zkittlez won't drain your energy, making it ideal for daytime or evening use. With its potent effects and rich terpene profile, Pink Zkittlez is a top choice for managing chronic fatigue, pain, depression, headaches, nausea, and ADD/ADHD. Whether you're looking for a flavor-packed smoke or a balanced high, this strain delivers a sensory experience as stunning as its pink-hued buds.","Pink Zkittlez, a stunning hybrid with pink hues, offers tropical candy flavors and a euphoric yet relaxing high. Perfect for focus, creativity, and pain relief.",Hybrid,27.0,0.0,"Focused, Relaxed, Euphoric","Chronic Pain, Depression, Fatigue"
Pop Star,Strain,23,250,1250,4.3,In stock,"Pop Star by Exotic Genetix is a resin-packed cannabis hybrid that blends power and flavor into one unique strain. A cross between the legendary Starfighter and Gary Poppins, Pop Star combines the best traits of its parents, offering a delightful experience for both connoisseurs and cultivators. Starfighter, known for its resin explosion and potent effects, pairs perfectly with Gary Poppins, a cross between Gary Payton and Red Runtz, bringing a fruity and exotic twist to this strain. Together, they create a cannabis masterpiece packed with terpenes, cannabinoids, and unmatched flavor. \n\n With its 80% indica and 20% sativa genetics, Pop Star features compact growth and a quick flowering period. Indoors, expect this strain to be ready for harvest in 8 to 9 weeks, delivering up to 650g per m². Outdoors, plants thrive in open ground, yielding an impressive 1200g per plant by late September or early October. These abundant yields, combined with its dense, resinous buds, make Pop Star a top choice for those who seek high-quality cannabis concentrates. \n\n Pop Star’s terpene profile brings a festival of flavors to the palate. Expect smooth vanilla and sweet cherry notes, complemented by earthy undertones, with subtle hints of beer and petrol. The strain’s aroma and taste are a sensory delight, making it a favorite for those who appreciate complex and rich cannabis flavors. In terms of effects, Pop Star starts with a happy, uplifting high that boosts your mood, eventually settling into a soothing, full-body relaxation. Its balanced effects make it perfect for unwinding after a long day while keeping a pleasant, euphoric vibe. Pop Star by Exotic Genetix is ideal for those looking for a strain with abundant resin production, a rich flavor profile, and balanced effects. Whether you’re growing it for concentrates or enjoying it as flower, Pop Star delivers both quality and quantity.","Pop Star by Exotic Genetix is an 80% indica hybrid with rich vanilla, cherry flavors, high THC, and balanced, relaxing effects.",Indica 80%,26.0,0.0,"Euphoric, Relaxing, Balanced High","Anxiety, Pain, Stress"
Poppin Fresh,Strain,40,300,245,30.7,In stock,"Poppin Fresh by Exotic Genetix is an indica-dominant hybrid (70/30) born from a unique collaboration between Compound Genetics, Family THC Cookies, and rapper Quavo Huncho. \n\n Created by crossing Pavé (Paris OG x The Menthol) with Gary Poppins, this rare strain delivers a flavorful and potent experience. \n\n Poppin Fresh offers a complex aroma profile that blends sweet, woody, fuel, and gas notes, making it a favorite among seasoned cannabis enthusiasts. With a THC content of 26%, it provides a powerful, relaxing effect that is ideal for unwinding. Its terpene profile includes spicy, sweet, and ice cream-like aromas with a hint of gas, reminiscent of Kool-Aid. This strain is easy to cultivate, offering excellent yields and exceptional quality, making it a must-try for growers and connoisseurs alike.","Poppin Fresh by Exotic Genetix: Indica-dominant (70/30) hybrid with 26% THC. Sweet, spicy, and gassy aroma. Relaxing and flavorful. Easy to grow.",Indica 70%,26.0,0.0,"Relaxation, Euphoria, Sedation","Stress, Insomnia, Chronic Pain"
Slaphappy,Strain,18,400,740,43.5,In stock,"Slaphappy is a captivating 70/30 indica-dominant hybrid from the creative minds at Exotic Genetix, bred by crossing Tina (Constantine x Triple OG) with Gary Poppins (Gary Payton x Red Runtz). This strain is a sensory masterpiece, showcasing deep purple buds adorned with fiery orange hairs and a rich, dark foliage backdrop. Its aroma is equally striking, blending sweet caramel, diesel, spices, and a bold kerosene-like fuel scent, promising a complex and unforgettable profile. \n\n Slaphappy is not only a delight for connoisseurs but also a favorite among growers. Known for its robust genetics, this strain offers exceptional production and ease of cultivation, making it a top pick for both experienced and novice cultivators. With its lineage tied to iconic strains like Slippery Susan and Cream & Sugar, Slaphappy carries forward the exotic terpene profiles Exotic Genetix is celebrated for. \n\n The effects are as potent as the aroma, delivering a powerful punch of relaxation and euphoria. Ideal for evening use, Slaphappy melts away stress and tension, replacing it with a sense of tranquility and contentment. Its unique terpene profile, reminiscent of Kool-Aid drinks, makes every session a flavorful journey. This strain is a go-to for managing chronic pain, insomnia, and stress while providing a sweet escape into relaxation.","Slaphappy is a 70/30 indica-dominant hybrid with rich flavors of caramel, diesel, and spices. It delivers powerful relaxation and stress relief.",Indica 70%,30.0,0.0,"Euphoric, Relaxed, Sleepy","Stress, Chronic Pain, Insomnia"
Star Point,Strain,18,250,200,35.5,In stock,"Star Point is a captivating pure sativa strain originating from the lush highlands of Phuket, Thailand. Bred by expert cultivators at Green Ghost, this strain stands out with its unique starry bud structure, where trichomes form constellations on the dense, resinous flowers. The aroma is a burst of fresh citrus and pine, reminiscent of a walk through a tropical forest at dawn. With THC levels around 20%, Star Point offers a cerebral lift that sparks creativity and enhances focus, making it ideal for artists, writers, and anyone needing mental stimulation.\n\nUpon consumption, the high begins with a gentle euphoria that builds into an energetic wave, promoting motivation and sociability without anxiety. Users report improved mood, reduced fatigue, and a sense of well-being that lasts for hours. This strain is perfect for daytime use, helping with tasks that require concentration and imagination. The flavor profile is sweet and tangy, with notes of lemon and spice that linger pleasantly.\n\nMedically, Star Point is beneficial for alleviating stress, depression, and fatigue. Its uplifting effects can help manage mild pain and provide relief from anxiety-related conditions. Grown organically in indoor environments, Star Point achieves AAA grade quality, ensuring purity and potency. Whether you're exploring new ideas or simply enjoying a productive day, Star Point delivers a stellar experience that lives up to its name.","Star Point, a pure sativa from Green Ghost in Phuket, features starry trichome-covered buds with citrus-pine aroma. Energizes mind, boosts creativity, relieves stress and fatigue for daytime productivity.",Sativa 60%,25.0,0.0,"Energetic, Creative, Focused","Stress, Fatigue, Depression"
